"n_obs" "method" "times" "errors"
"1" 100 "method1" 4.38569743847012 0.0260380410040212
"2" 100 "method1" 8.07007213056927 0.0209693210284592
"3" 100 "method1" 5.53795780503401 0.0220534025787071
"4" 100 "method1" 6.67819820248856 0.0253474831826342
"5" 100 "method1" 10.7794440543287 0.0267169948935297
"6" 100 "method1" 9.75387095024422 0.019514632055917
"7" 100 "method1" 16.5053597317767 0.0178680364223815
"8" 100 "method1" 4.65075295007903 0.0265209134420344
"9" 100 "method1" 12.0648968250238 0.022340632246675
"10" 100 "method1" 7.81199083251132 0.0238114882373327
"11" 100 "method1" 6.60254378349037 0.0341375179377224
"12" 100 "method1" 9.89502915813775 0.0225833692086176
"13" 100 "method1" 8.06378149661996 0.0342414164585252
"14" 100 "method1" 9.95263682935765 0.0126769247539423
"15" 100 "method1" 8.25220953335939 0.0282777931328133
"16" 100 "method1" 10.0435107615179 0.0280185988477552
"17" 100 "method1" 9.33885070064602 0.0211688963586386
"18" 100 "method1" 5.30314648644727 0.0227495696556945
"19" 100 "method1" 8.23393576163078 0.0260365515551004
"20" 100 "method1" 7.11773620651871 0.0174402136524921
"21" 100 "method1" 9.59585665723773 0.0311197942280672
"22" 100 "method1" 9.19810158833214 0.0239655345615522
"23" 100 "method1" 8.96077631681357 0.030728017516236
"24" 100 "method1" 9.491267249118 0.0313907794302779
"25" 100 "method1" 11.9072347266977 0.0252381979203684
"26" 100 "method1" 5.33280187133378 0.0284237414350734
"27" 100 "method1" 12.413197498377 0.0317553480285851
"28" 100 "method1" 14.0877971043404 0.0244656189136177
"29" 100 "method1" 9.23238414310974 0.0319695745288866
"30" 100 "method1" 13.6826835368109 0.0228250766056622
"31" 100 "method2" 5.70980960874418 0.0167704986469765
"32" 100 "method2" 12.8875068633601 0.0219983122364425
"33" 100 "method2" 9.85924749993816 0.0239416814801128
"34" 100 "method2" 15.2303858711138 0.0204196974025706
"35" 100 "method2" 13.8581877442373 0.0272930592131639
"36" 100 "method2" 8.41827400798251 0.030607728718718
"37" 100 "method2" 10.6974998536566 0.0296739802262082
"38" 100 "method2" 10.9980882995325 0.0154394053309576
"39" 100 "method2" 16.9614928161615 0.0199482601422206
"40" 100 "method2" 5.38810881642124 0.0299447595866526
"41" 100 "method2" 10.7270665124977 0.0308298725348673
"42" 100 "method2" 10.6038061020958 0.0188366134281913
"43" 100 "method2" 15.8349264125784 0.01935947519052
"44" 100 "method2" 9.50051186376772 0.0285828680372127
"45" 100 "method2" 13.3021327388262 0.0269157250833547
"46" 100 "method2" 12.0432151966369 0.0181589440194854
"47" 100 "method2" 6.64609765258579 0.026617185483546
"48" 100 "method2" 8.38037468442958 0.0162810862380449
"49" 100 "method2" 11.8462169379401 0.0193565281836225
"50" 100 "method2" 8.38412675280386 0.0216842132844973
"51" 100 "method2" 8.0398194361345 0.022154697992896
"52" 100 "method2" 9.84381409845045 0.0197562775323488
"53" 100 "method2" 7.55611512918471 0.0283345322890892
"54" 100 "method2" 10.277725275052 0.0188064502003544
"55" 100 "method2" 11.0016345945774 0.0271739588125241
"56" 100 "method2" 10.6326617225188 0.0240625422428952
"57" 100 "method2" 8.45123358550798 0.0248736887415633
"58" 100 "method2" 9.73438681045857 0.0245271490714401
"59" 100 "method2" 10.5433945230349 0.0260382230984433
"60" 100 "method2" 6.96500416341314 0.0241677418943155
"61" 100 "method3" 8.22694389523796 0.0312325100199652
"62" 100 "method3" 10.1144623856277 0.024904852608805
"63" 100 "method3" 12.0046236880474 0.0224716512198155
"64" 100 "method3" 12.2371713826059 0.0264133470691516
"65" 100 "method3" 12.6872242939626 0.0253630940943477
"66" 100 "method3" 12.0078141598791 0.0242402590783999
"67" 100 "method3" 8.80653133169301 0.0161347376435337
"68" 100 "method3" 6.30468526326552 0.0187094108308973
"69" 100 "method3" 13.1443177114723 0.0202643637665502
"70" 100 "method3" 4.71664614879479 0.0167190725635003
"71" 100 "method3" 10.1060364715281 0.0215376563357187
"72" 100 "method3" 11.9518078374411 0.0256843381361262
"73" 100 "method3" 11.1456427910447 0.0279257831408266
"74" 100 "method3" 12.6914450151169 0.0282604121352266
"75" 100 "method3" 12.4022890387346 0.0207202668793618
"76" 100 "method3" 8.22886523958572 0.0281045423410429
"77" 100 "method3" 13.0091985011815 0.029845335827271
"78" 100 "method3" 6.70037785411792 0.0262021134839061
"79" 100 "method3" 11.8783278979282 0.0195107019481435
"80" 100 "method3" 9.23306141114351 0.0281561934158696
"81" 100 "method3" 9.62039763904654 0.029008681614334
"82" 100 "method3" 5.24402214104431 0.0252510005371297
"83" 100 "method3" 8.27634357035471 0.0257329214542104
"84" 100 "method3" 4.79253898682572 0.0177691807505109
"85" 100 "method3" 12.2008018915775 0.0191541434185326
"86" 100 "method3" 14.1416446530846 0.0277793320185572
"87" 100 "method3" 14.0414172697285 0.0278919213874467
"88" 100 "method3" 8.56881070484947 0.024866741778892
"89" 100 "method3" 10.132486097227 0.0292587196370613
"90" 100 "method3" 8.69617189411997 0.0235953915081521
"91" 100 "method4" 4.34121907780382 0.0209145413252271
"92" 100 "method4" 9.88884488430613 0.0206586637877238
"93" 100 "method4" 4.73852867240271 0.0249179000622712
"94" 100 "method4" 7.89142474567821 0.0273298864436574
"95" 100 "method4" 11.0222986684979 0.0243306816766354
"96" 100 "method4" 11.0500010072744 0.0230270969086481
"97" 100 "method4" 13.6277162628451 0.0288428819972164
"98" 100 "method4" 13.2734920698049 0.0333025436944181
"99" 100 "method4" 9.03690539339182 0.0218936267903703
"100" 100 "method4" 6.46339984412959 0.0214666747390396
"101" 100 "method4" 3.4007418000969 0.0283570592969725
"102" 100 "method4" 11.2731624696489 0.0286841788200538
"103" 100 "method4" 9.50943062830275 0.0308189750053781
"104" 100 "method4" 6.72711552075941 0.0169991346721834
"105" 100 "method4" 8.34919601784293 0.0326440134752588
"106" 100 "method4" 9.92744740244571 0.0329044473800794
"107" 100 "method4" 7.51965174606169 0.0299737730206212
"108" 100 "method4" 4.16861337033047 0.0249418915883836
"109" 100 "method4" 12.6463048859183 0.0244532867077042
"110" 100 "method4" 12.6894742187598 0.0252375962414283
"111" 100 "method4" 10.8879958372265 0.0217407450780578
"112" 100 "method4" 13.3259199121277 0.0258353755814106
"113" 100 "method4" 17.5018559135904 0.0230281095958165
"114" 100 "method4" 9.7443201363747 0.0261471595912651
"115" 100 "method4" 7.78480569162688 0.0310066632528995
"116" 100 "method4" 13.249603272595 0.0244873831157496
"117" 100 "method4" 13.2849412479707 0.0239599923521015
"118" 100 "method4" 6.44896563109382 0.0361426713165067
"119" 100 "method4" 12.5803063887376 0.0159846810004416
"120" 100 "method4" 6.64949162068628 0.0229131462479217
"121" 200 "method1" 8.393917325432 0.0141595146264387
"122" 200 "method1" 11.7634619833353 0.0132600421490115
"123" 200 "method1" 8.48043350764376 0.00964901689512371
"124" 200 "method1" 12.8266421338155 0.014134985441466
"125" 200 "method1" 7.31013749359082 0.00883813870232224
"126" 200 "method1" 10.5478123439682 0.011231381507052
"127" 200 "method1" 6.25728655911816 0.0102238820647619
"128" 200 "method1" 10.2834975353644 0.00990479049779562
"129" 200 "method1" 16.3128222971754 0.0120361946423625
"130" 200 "method1" 9.16062910850765 0.0126098822552862
"131" 200 "method1" 5.54152506058953 0.01065306569665
"132" 200 "method1" 11.4367132554334 0.0134842946434124
"133" 200 "method1" 7.70432000096695 0.0151014576874029
"134" 200 "method1" 12.4425008347161 0.0170245542428779
"135" 200 "method1" 10.5053352105234 0.00924073843251692
"136" 200 "method1" 8.71235149355805 0.014426422534619
"137" 200 "method1" 10.8846503969425 0.0119919618966
"138" 200 "method1" 10.9090010648675 0.0162637440051466
"139" 200 "method1" 9.83210412857903 0.0100939581970207
"140" 200 "method1" 11.4212116302397 0.0173718808572843
"141" 200 "method1" 11.4580975372734 0.0164056759084357
"142" 200 "method1" 11.0668366175394 0.012559577712684
"143" 200 "method1" 9.36272032851388 0.0136759428224664
"144" 200 "method1" 9.35498761714335 0.0123594753230842
"145" 200 "method1" 8.0597826981806 0.0147916660737841
"146" 200 "method1" 8.42896389287089 0.0161368776089718
"147" 200 "method1" 11.9110360333333 0.0132861801746513
"148" 200 "method1" 7.50331884477243 0.0110469096703625
"149" 200 "method1" 9.03978046074272 0.0082763526176634
"150" 200 "method1" 14.0813240670005 0.0126989101402289
"151" 200 "method2" 11.8016237597061 0.0128968901673199
"152" 200 "method2" 10.4368396980812 0.0119064952334502
"153" 200 "method2" 7.22862510536511 0.0120666841476036
"154" 200 "method2" 7.41816501942223 0.0138376664525016
"155" 200 "method2" 5.96025460200035 0.0115359767770808
"156" 200 "method2" 7.84818430663822 0.0105882050447615
"157" 200 "method2" 7.49491146183222 0.015136782885104
"158" 200 "method2" 8.6833138647762 0.0114994475521855
"159" 200 "method2" 14.6225668412799 0.0168200550395041
"160" 200 "method2" 8.64695824965002 0.0126923479267797
"161" 200 "method2" 11.2611436384898 0.0131667188009832
"162" 200 "method2" 7.1069125363801 0.0162898355817954
"163" 200 "method2" 13.072832006602 0.00832247541716747
"164" 200 "method2" 6.27731639759347 0.0119981476292829
"165" 200 "method2" 10.3638890385982 0.0152165801504238
"166" 200 "method2" 7.47508667929609 0.0131857297370843
"167" 200 "method2" 7.91125587833366 0.00865300793592305
"168" 200 "method2" 6.7339651286858 0.0131127041365307
"169" 200 "method2" 9.37938712778211 0.0124248211445443
"170" 200 "method2" 12.9228853720528 0.00906557182322704
"171" 200 "method2" 10.1424330237891 0.0101877586503903
"172" 200 "method2" 10.0991164771715 0.00806935985359603
"173" 200 "method2" 11.7961808139352 0.0113012228525969
"174" 200 "method2" 8.48622475214962 0.0105855163576147
"175" 200 "method2" 5.77723078012879 0.0075223673209945
"176" 200 "method2" 13.0139416276045 0.012770357664695
"177" 200 "method2" 12.4680636820318 0.012675160239974
"178" 200 "method2" 7.55030587825351 0.0106439515619354
"179" 200 "method2" 11.4878999857602 0.0105900899293958
"180" 200 "method2" 8.00332372805411 0.00951129777112548
"181" 200 "method3" 6.53118472611566 0.00908517165455824
"182" 200 "method3" 10.934150637876 0.0121917649524354
"183" 200 "method3" 7.63524881520198 0.0127924450667177
"184" 200 "method3" 4.9651282688281 0.0134230767862705
"185" 200 "method3" 7.31223749100501 0.0111600698703902
"186" 200 "method3" 11.897600484147 0.00824122622482807
"187" 200 "method3" 9.88216156952789 0.010516853447107
"188" 200 "method3" 13.2572579162515 0.0111379612371027
"189" 200 "method3" 5.18694972200582 0.0137958587106032
"190" 200 "method3" 11.9793871707692 0.0116955603159108
"191" 200 "method3" 8.34799644693565 0.0129128851546778
"192" 200 "method3" 10.9690332271987 0.0167784790687034
"193" 200 "method3" 6.81882024594017 0.00841348584958202
"194" 200 "method3" 5.35142926000628 0.00667996636145083
"195" 200 "method3" 11.0123508193584 0.0116781818501557
"196" 200 "method3" 10.251972323336 0.01625335909521
"197" 200 "method3" 12.9530575785492 0.0123626793218262
"198" 200 "method3" 12.3406041044341 0.0112863338257286
"199" 200 "method3" 13.896759357735 0.0128489542851597
"200" 200 "method3" 8.7519624441307 0.0166089524509235
"201" 200 "method3" 8.21146913426679 0.0119511625493947
"202" 200 "method3" 3.37484176270176 0.0126010864031511
"203" 200 "method3" 6.07777191728275 0.0115867656514544
"204" 200 "method3" 8.43376607198877 0.00812405584586209
"205" 200 "method3" 10.0814433985659 0.0093861376593259
"206" 200 "method3" 10.9173477371216 0.0141139857106417
"207" 200 "method3" 9.02522739779769 0.0140901366242963
"208" 200 "method3" 8.10713774549543 0.0129746995432396
"209" 200 "method3" 7.57898691971639 0.013077918032658
"210" 200 "method3" 9.54646061394667 0.0108550620490798
"211" 200 "method4" 8.12775212255488 0.0148041203343298
"212" 200 "method4" 10.1888965303961 0.0146243122519492
"213" 200 "method4" 10.183246825027 0.0145536682617883
"214" 200 "method4" 12.3933511934303 0.0195038413392418
"215" 200 "method4" 7.94703351610363 0.0135156212568007
"216" 200 "method4" 7.91919840064746 0.0131567085798308
"217" 200 "method4" 8.1757619406763 0.01011386781739
"218" 200 "method4" 12.3875169586657 0.0092887754579675
"219" 200 "method4" 5.89279858337691 0.0110486638431613
"220" 200 "method4" 10.0378082723834 0.0121921724077698
"221" 200 "method4" 8.42668574410744 0.0190648377125021
"222" 200 "method4" 12.5460270651127 0.0108601073550655
"223" 200 "method4" 14.951679240668 0.0101383054412266
"224" 200 "method4" 10.7051389572423 0.0129961905877158
"225" 200 "method4" 14.5080244013918 0.0150521472100986
"226" 200 "method4" 12.5392807208382 0.0149872972712291
"227" 200 "method4" 10.2908650213312 0.0162962565589651
"228" 200 "method4" 12.3728607023863 0.0124404078425367
"229" 200 "method4" 8.93197320883349 0.0142830017038548
"230" 200 "method4" 14.2285245055968 0.0129152557946062
"231" 200 "method4" 9.32395300302002 0.0143900659989568
"232" 200 "method4" 12.8943321824694 0.0102682704384245
"233" 200 "method4" 10.3134566288119 0.0159832558535814
"234" 200 "method4" 12.3077295471942 0.00872687954026445
"235" 200 "method4" 11.9907487216631 0.0124307831622762
"236" 200 "method4" 5.43529252674843 0.0062575238187633
"237" 200 "method4" 6.32667311382874 0.0130535964326165
"238" 200 "method4" 9.97811813170072 0.010403168064
"239" 200 "method4" 13.9310887956734 0.0105549115295251
"240" 200 "method4" 7.29689916881702 0.0111186239392704
"241" 300 "method1" 8.75341489199033 0.00985855954515721
"242" 300 "method1" 11.5423655632625 0.00756291887066083
"243" 300 "method1" 11.4664729554569 0.00877674128068414
"244" 300 "method1" 8.94646067363446 0.00849970309648667
"245" 300 "method1" 6.27238534562325 0.0107852629066623
"246" 300 "method1" 10.1670007111707 0.00658385977519728
"247" 300 "method1" 9.39235035036775 0.00837454250285183
"248" 300 "method1" 5.98749500201296 0.00873781221681315
"249" 300 "method1" 10.9916100341193 0.00839484738062791
"250" 300 "method1" 10.773257295688 0.00811761427224639
"251" 300 "method1" 7.99087134538961 0.00933858983462773
"252" 300 "method1" 8.35544783146375 0.0064504876657827
"253" 300 "method1" 10.4233824788237 0.00898946409667003
"254" 300 "method1" 14.5390559678429 0.00850947498456764
"255" 300 "method1" 14.0480858491029 0.00812409131096333
"256" 300 "method1" 13.8623724872869 0.00712594210857089
"257" 300 "method1" 1.23461669770562 0.00838403598275713
"258" 300 "method1" 12.1044727714252 0.0106092228076145
"259" 300 "method1" 7.07417054970606 0.00836203831134738
"260" 300 "method1" 9.70576831082982 0.00613525058360061
"261" 300 "method1" 11.4079629631612 0.00851008489863249
"262" 300 "method1" 11.3486924922782 0.00739836897082184
"263" 300 "method1" 13.9526321906214 0.00700501745294604
"264" 300 "method1" 9.62077184008299 0.0087313921707843
"265" 300 "method1" 8.86244949203694 0.00786536431481501
